year,boat,volume,type,country,port,long,lat,distance
1890,104,8089,vessel,turkey,Izmir,38.4153421,27.144474,1007
1890,282,262452!,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1891,111,14640,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1891,69,38640,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1891,104,8293,vessel,turkey,Izmir,38.4153421,27.144474,1007
1891,273,258837,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1892,74,10419,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1892,7,5515,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1892,93,8971,vessel,turkey,Izmir,38.4153421,27.144474,1007
1892,302,278334,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1893,70,7722,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1893,8,5221,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1893,102,8341,vessel,turkey,Izmir,38.4153421,27.144474,1007
1893,338,314366,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1894,78,9656,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1894,9,9995,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1894,109,7809,vessel,turkey,Izmir,38.4153421,27.144474,1007
1894,378,338043,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1895,60,7179,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1895,11,12108,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1895,84,8995,vessel,turkey,Izmir,38.4153421,27.144474,1007
1895,347,332302,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1896,63,7746,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1896,13,14619,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1896,68,5197,vessel,turkey,Izmir,38.4153421,27.144474,1007
1896,244,219623,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1897,56,8974,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1897,35,28786,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1897,46,4176,vessel,turkey,Izmir,38.4153421,27.144474,1007
1897,216,203486,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1898,95,14902,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1898,32,36233,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1898,94,9890,vessel,turkey,Izmir,38.4153421,27.144474,1007
1898,261,247084,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1899,23,3204,vessel,crete – turkey,,40.2362233,26.2945493,854
1899,7,7466,steamboat,crete – turkey,,40.2362233,26.2945493,854
1899,72,12247,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1899,29,37719,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1899,17,3772,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1899,77,69682,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1900,14,1708,vessel,crete – turkey,,40.2362233,26.2945493,854
1900,19,26472,steamboat,crete – turkey,,40.2362233,26.2945493,854
1900,73,11995,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1900,62,48298,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1900,16,3783,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1900,136,133311,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1901,18,2085,vessel,crete – turkey,,40.2362233,26.2945493,854
1901,9,12868,steamboat,crete – turkey,,40.2362233,26.2945493,854
1901,70,11713,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1901,59,44154,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1901,16,2534,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1901,129,132098,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1902,23,3497,vessel,crete – turkey,,40.2362233,26.2945493,854
1902,,,steamboat,crete – turkey,,40.2362233,26.2945493,854
1902,,11184,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1902,95,90383,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1902,12,3306,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1902,154,169513,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1903,23,4045,vessel,crete – turkey,,40.2362233,26.2945493,854
1903,2,1426,steamboat,crete – turkey,,40.2362233,26.2945493,854
1903,62,10806,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1903,73,68835,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1903,11,4688,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1903,136,132759,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1904,16,3073,vessel,crete – turkey,,40.2362233,26.2945493,854
1904,1,1206,steamboat,crete – turkey,,40.2362233,26.2945493,854
1904,52,10377,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1904,68,58942,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1904,5,1116,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1904,102,104672,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1904,1,2382,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1904,45,115301,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1904,,,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1904,15,51366,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1905,17,3478,vessel,crete – turkey,,40.2362233,26.2945493,854
1905,4,5660,steamboat,crete – turkey,,40.2362233,26.2945493,854
1905,64,12216,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1905,80,77199,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1905,7,1800,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1905,119,123454,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1905,,,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1905,43,109474,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1905,,,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1905,12,45413,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1906,17,3079,vessel,crete – turkey,,40.2362233,26.2945493,854
1906,6,7433,steamboat,crete – turkey,,40.2362233,26.2945493,854
1906,61,13035,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1906,47,57079,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1906,4,1105,vessel,asian turkey,Izmir,38.4153421,27.144474,1007
1906,123,134847,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1906,,,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
1906,39,101953,steamboat,asian turkey,Izmir,38.4153421,27.144474,1007
