"year","boat","volume","type","country","new_loc","port","lon","lat"
1860,"115",37291,"steamboat","turkey",57,"Izmir",27.144474,38.4153421
1860,"13",2157,"vessel","moldavia",47,"Costantza",28.634814,44.159801
1860,"119",21841,"vessel","valacchia",46,"Costantza",28.634814,44.159801
1860,"24",6190,"vessel","egypt",20,"Alexandria",29.8943785,31.1990035
1860,"24",16721,"steamboat","egypt",20,"Alexandria",29.8943785,31.1990035
1860,"8",1188,"vessel","s domingo",19,"Santo Domingo",-69.883565,18.526127
1860,"5",837,"vessel","american spain",16,"Havana, Cuba",-82.3658561,23.1379911
1860,"41",17146,"vessel","usa",60,"New York",-73.9865811,40.7305991
1860,"1",341,"vessel","mexico",37,"Veracruz",-96.6666669,19.333333
1860,"2",201,"vessel","venezuela",61,"La Guaira",-66.921363,10.587508
1860,"34",6856,"vessel","brazil",10,"Rio de Janeiro",-43.2093726,-22.9110136
1860,"2",719,"vessel","peru",42,"Chimbote",-78.589011,-9.063336
1860,"12",770,"vessel","asian uk",27,"Calcutta, India",88.3476023,22.5677459
1860,"1",351,"vessel","sumatra",28,"Jakarta",106.845599,-6.208763
1906,"689",30585,"vessel","austria hungary",6,"Other Austro-Hungarian ports",13.776819,46.649526
1906,"5654",748971,"steamboat","austria hungary",6,"Other Austro-Hungarian ports",13.776819,46.649526
1906,"4",6754,"steamboat","belgium",8,"Ostend",2.928656,51.21543
1906,"2",300,"vessel","crete turkey",57," Herakleio",25.144213,35.338735
1906,"4",3838,"steamboat","crete turkey",57," Herakleio",25.144213,35.338735
1906,"1",252,"vessel","france",22,"Marseille",5.3699525,43.2961743
1906,"63",61263,"steamboat","france",22,"Marseille",5.3699525,43.2961743
1906,"28",29303,"steamboat","germany",23,"Hamburg",10.000654,53.5503414
1906,"221",427016,"steamboat","uk",58,"London",-0.1276473,51.5073219
1906,"39",8208,"vessel","greece",25,"Thessaloniki",22.9352716,40.6403167
1906,"33",32171,"steamboat","greece",25,"Thessaloniki",22.9352716,40.6403167
1906,"1450",55974,"vessel","italy",30,"Ancona",13.5170982,43.6170137
1906,"494",402597,"steamboat","italy",30,"Ancona",13.5170982,43.6170137
1906,"1",2311,"steamboat","malta uk",35,"La Valletta",14.514553,35.898908
1906,"6",166,"vessel","montenegro",38,"Port of Bar",19.083959,42.087462
1906,"7",14472,"steamboat","low countries",41,"Rotterdam",4.488623269,51.92779805
1906,"54",97104,"steamboat","rumenia",46,"Costantza",28.634814,44.159801
1906,"1",2438,"steamboat","russia baltic sea",48,"St Petersburg",30.335099,59.93428
1906,"45",67476,"steamboat","russia black sea",48,"Novorossiysk",37.7690711,44.7239578
1906,"59",55312,"steamboat","spain",52,"Barcelona",2.1771353,41.3825596
1906,"28",1958,"vessel","european turkey",57,"Istambul",28.9651646,41.0096334
1906,"152",114564,"steamboat","european turkey",57,"Istambul",28.9651646,41.0096334
1906,"2",208,"vessel","asian turkey",57,"Izmir",27.144474,38.4153421
1906,"126",135447,"steamboat","asian turkey",57,"Izmir",27.144474,38.4153421
1906,"55",138267,"steamboat","india uk",27,"Calcutta ",88.363895,22.572646
