"X","year","boat","volume","type","country","port","long","lat","distance"
71,1860,"722",136968,"steamboat","austria","",47.2000338,13.199959,0
72,1860,"",NA,"vessel","",NA,NA,NA,NA
74,1860,"2122",273959,"vessel","foreign","",51.50277575,-0.128709882909,NA
75,1860,"237",114762,"steamboat","foreign","",51.50277575,-0.128709882909,NA
76,1860,"",NA,"vessel","",NA,NA,NA,NA
77,1860,"536",32225,"vessel","papal state","Ancona",43.6170137,13.5170982,130
78,1860,"10",2385,"steamboat","papal state","Ancona",43.6170137,13.5170982,130
79,1860,"425",21699,"vessel","neaples",NA,NA,NA,NA
80,1860,"",NA,"steamboat","neaples",NA,NA,NA,NA
81,1860,"70",17475,"vessel","sicily","Palermo",38.11127,13.3534422,753
82,1860,"",NA,"steamboat","sicily","Palermo",38.11127,13.3534422,753
83,1860,"90",8319,"vessel","ionic islands",NA,NA,NA,NA
84,1860,"52",10880,"steamboat","ionic islands",NA,NA,NA,NA
85,1860,"225",28548,"vessel","greece","Thessaloniki",40.6403167,22.9352716,1056
86,1860,"2",604,"steamboat","greece","Thessaloniki",40.6403167,22.9352716,1056
87,1860,"12",4800,"vessel","toscana","Livorno",43.5426309,10.3160295,1047
88,1860,"",NA,"steamboat","toscana","Livorno",43.5426309,10.3160295,1047
89,1860,"13",2479,"vessel","sardegna ",NA,NA,NA,NA
90,1860,"69",15291,"vessel","mediterranean france","Marseille",43.2961743,5.3699525,1210
91,1860,"",NA,"steamboat","mediterranean france","Marseille",43.2961743,5.3699525,1210
92,1860,"5",1203,"vessel","atlantic france ","Le Havre",49.4938975,0.1079732,2804
93,1860,"13",NA,"vessel","algeria","Algiers",28.0000272,2.9999825,1254
94,1860,"12",2638,"vessel","spain","Barcelona",41.3825596,2.1771353,1313
95,1860,"71",11904,"vessel","uk – malta","",51.8246673,-0.3402597,730
96,1860,"",NA,"steamboat","uk – malta","",51.8246673,-0.3402597,730
97,1860,"1",125,"vessel","uk – gibraltar –","",51.791921,-0.90223,1664
98,1860,"",NA,"steamboat","uk – gibraltar –","",51.791921,-0.90223,1664
99,1860,"76",19265,"vessel","uk –","London",51.5073219,-0.1276473,2968
100,1860,"26",24306,"steamboat","uk –","London",51.5073219,-0.1276473,2968
101,1860,"14",2646,"vessel","low countries","Rotterdam",51.92779805,4.48862326926,3009
102,1860,"9",3432,"steamboat","low countries","Rotterdam",51.92779805,4.48862326926,3009
103,1860,"7",1655,"vessel","belgium","Ostend",50.1160632,8.72011225465,2933
104,1860,"16",3196,"vessel","hamburg","",53.5503414,10.000654,3262
105,1860,"3",512,"vessel","bremen",NA,NA,NA,NA
106,1860,"3",583,"vessel","prussia","Rostok",54.0924445,12.1286127,3669
107,1860,"2",298,"vessel","denmanrk",NA,NA,NA,NA
108,1860,"2",427,"vessel","sweden and norway",NA,NA,NA,NA
109,1860,"5",946,"vessel","russia baltic sea ","St Petersburg",27.7703796,-82.6695084,4251
110,1860,"14",4948,"vessel","russia black sea ","Novorossiysk",44.7239578,37.7690711,1608
111,1860,"314",53605,"vessel","turkey","Izmir",38.4153421,27.144474,1007
112,1860,"114",56438,"steamboat","turkey","Izmir",38.4153421,27.144474,1007
113,1860,"4",781,"vessel","moldavia","",47.286747,28.5110236,1400
114,1860,"",NA,"steamboat","moldavia","",47.286747,28.5110236,1400
115,1860,"2",464,"vessel","valacchia",NA,NA,NA,NA
116,1860,"",NA,"steamboat","valacchia",NA,NA,NA,NA
117,1860,"67",19843,"vessel","egypt","Alexandria",31.1990035,29.8943785,1191
118,1860,"24",16717,"steamboat","egypt","Alexandria",31.1990035,29.8943785,1191
119,1860,"1",179,"vessel","tripoli","",32.77325405,13.4141472054,916
120,1860,"11",2805,"vessel","tunisia","",33.8439408,9.400138,930
121,1860,"1",189,"vessel","morocco","Casablanca",33.5949733,-7.6188008,1835
122,1860,"8",1301,"vessel","american spain","Havana, Cuba",23.1379911,-82.3658561,5677
123,1860,"15",5899,"vessel","usa","New York",40.7305991,-73.9865811,4854
124,1860,"1",200,"vessel","venezuela","Puerto la Cruz",28.4159024,-16.5532955,5201
125,1860,"19",4521,"vessel","brazil","Rio de Janeiro",-22.9110136,-43.2093726,5838
126,1861,"7015",187234,"vessel","austria","",47.2000338,13.199959,0
127,1861,"650",116832,"steamboat","austria","",47.2000338,13.199959,0
128,1861,"695",38037,"vessel","papal state","Ancona",43.6170137,13.5170982,130
129,1861,"1",422,"steamboat","papal state","Ancona",43.6170137,13.5170982,130
130,1861,"395",24594,"vessel","neaples ",NA,NA,NA,NA
131,1861,"92",22538,"vessel","sicily","Palermo",38.11127,13.3534422,753
132,1861,"",NA,"steamboat","sicily","Palermo",38.11127,13.3534422,753
133,1861,"92",6081,"vessel","ionic islands",NA,NA,NA,NA
134,1861,"52",11820,"steamboat","ionic islands",NA,NA,NA,NA
135,1861,"222",26796,"vessel","greece","Thessaloniki",40.6403167,22.9352716,1056
136,1861,"",NA,"steamboat","greece","Thessaloniki",40.6403167,22.9352716,1056
137,1861,"9",1767,"vessel","toscana","Livorno",43.5426309,10.3160295,1047
138,1861,"",NA,"steamboat","toscana","Livorno",43.5426309,10.3160295,1047
139,1861,"18",2858,"vessel","sardegna","Cagliari",39.2169525,9.1128513,947
140,1861,"",NA,"steamboat","sardegna","Cagliari",39.2169525,9.1128513,947
141,1861,"170",42200,"vessel","mediterranean france","Marseille",43.2961743,5.3699525,1210
142,1861,"",NA,"steamboat","mediterranean france","Marseille",43.2961743,5.3699525,1210
143,1861,"50",14148,"vessel","atlantic france","Le Havre",49.4938975,0.1079732,2804
144,1861,"1",350,"steamboat","atlantic france","Le Havre",49.4938975,0.1079732,2804
145,1861,"10",3693,"vessel","algeria","Algiers",28.0000272,2.9999825,1254
146,1861,"13",3080,"vessel","spain","Barcelona",41.3825596,2.1771353,1313
147,1861,"1",310,"vessel","portugal","Lisbon",38.7077926,-9.1365069,1947
148,1861,"75",12713,"vessel","uk – malta","",51.8246673,-0.3402597,730
149,1861,"",NA,"steamboat","uk – malta","",51.8246673,-0.3402597,730
150,1861,"",NA,"vessel","uk – gibraltar ","",51.791921,-0.90223,1664
