NEW,OLD,Port,lat,lon,nautical_miles,sea_basin,continent
Italy,neaples,Neaples,"40,851775","14,268124",808,Mediterranean,South Europe
USA,usa,New York,"40,7305991","-73,9865811",4854,North Atlantic,North America
Russia,russia black sea,Novorossiysk,"44,7239578","37,7690711",1608,Black sea,East Europe
Belgium,belgium,Ostend,"51,21543","2,928656",2933,North Sea,North Europe
Austria-Hungary,austria,Other Austro-Hungarian ports,"45,649526","13,776818",0,Mediterranean,Central Europe
Austria-Hungary,austria hungary,Other Austro-Hungarian ports,"46,649526","13,776819",0,Mediterranean,Central Europe
Austria-Hungary,austro illirian litoral,Other Austro-Hungarian ports,"46,649526","13,776819",0,Mediterranean,Central Europe
Austria-Hungary,dalmatia,Other Austro-Hungarian ports,"45,649526","13,776818",0,Mediterranean,Central Europe
Austria-Hungary,hungarian litoral,Other Austro-Hungarian ports,"45,649526","13,776818",0,Mediterranean,Central Europe
Italy,sicily,Palermo,"38,11127","13,3534422",753,Mediterranean,South Europe
Montenegro,montenegro,Port of Bar,"42,087462","19,083959",304,Mediterranean,South Europe
"Martinique, France",caribbean france,"Port of Fort-de-France, Martinique","14,6033306","-61,06173136",4904,North Atlantic,Central America
"Martinique, France",martinica france,"Port of Fort-de-France, Martinique","14,6033306","-61,06173136",4904,North Atlantic,Central America
"Trinidad, UK",trinidad uk,Port of Spain,"10,654901","-61,501926",5059,North Atlantic,Central America
Haiti,haiti,Port-au-Prince,"18,594395","-72,307433",5430,North Atlantic,Central America
"Canary, Spain",canarias spain,Puertos de Las Palmas,"28,1216268","-15,4058906",2345,North Atlantic,Africa
"Canary, Spain",african spain,"Puertos de Las Palmas, Canarias","28,1216268","-15,4058906",2345,North Atlantic,Africa
"Canada, UK",american uk,"Quebec City, Canada","46,8257374","-71,2349113",4689,North Atlantic,North America
"Canada, UK",canada uk,"Quebec City, Canada","46,8257374","-71,2349113",4689,North Atlantic,North America
Brazil,brazil,Rio de Janeiro,"-22,9110136","-43,2093726",5838,South Atlantic,South America
Germany,prussia,Rostok,"54,0924445","12,1286127",3669,Baltic Sea,North Europe
Netherlands,low countries,Rotterdam,"51,92779805","4,488623269",3009,North Sea,North Europe
"Vietnam, France",indo china france,Saigon,"10,823099","106,629664",6954,South China Sea,Oceania
Dominican Republic,s domingo,Santo Domingo,"18,526127","-69,883565",5217,North Atlantic,Central America
China,china,Shanghai,"31,230416","121,473701",8545,Pacific Ocean,Asia
Russia,russia baltic sea,St Petersburg,"59,93428","30,335099",4251,Baltic sea,East Europe
"Virgin Islands, Denmark",american denmanrk,St. Thomas,"18,33","-64,91",4955,North Atlantic,Central America
"Virgin Islands, Denmark",american denmark,St. Thomas,"18,33","-64,91",4955,North Atlantic,Central America
"Australia, UK",australia,Sydney,"-33,8548156","151,2164539",9590,South Pacific,Oceania
"Australia, UK",australia uk,Sydney,"-33,8548157","151,216454",9590,South Pacific,Oceania
"Australia, UK",austrialia,Sydney,"-33,8548156","151,2164539",9590,South Pacific,Oceania
Greece,greece,Thessaloniki,"40,6403167","22,9352716",1056,Mediterranean,South Europe
Japan,japan,Tokyo,"35,689488","139,691706",9212,Pacific Ocean,Asia
Lybia,tripoli,Tripoli,"32,887209","13,191338",916,Mediterranean,Africa
Tunisia,tunis,Tunis,"36,837495","10,192739",930,Mediterranean,Africa
Tunisia,tunisia,Tunis,"37,837495","10,19274",930,Mediterranean,Africa
Chile,chile,Valparaiso,"-33,0462474","-71,6198031",9437,Pacific Ocean,South America
Bulgaria,bulgaria,Varna,"43,2166104","27,9017131",1301,Black sea,East Europe
Italy,veneto,Venezia,"45,440847","12,315515",0,Mediterranean,South Europe
Mexico,mexico,Veracruz,"19,333333","-96,6666669",6467,North Atlantic,Central America
Greece,ionic islands,Zakynthos,"37,787033","20,899876",593,Mediterranean,South Europe
